the_geom,objectid,station_id,lat,lon,borough,name,cartodb_id,created_at,updated_at
0101000020E6100000FC0E46106B8052C0034FE993D25A4440,73,316,40.70955958,-74.00653609,Manhattan,316,73,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000008E321EADD67E52C0DEE06F5EBD5C4440,74,317,40.72453734,-73.98185424,Manhattan,317,74,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000464B6A52977E52C0F65D8DA368604440,75,318,40.75320159,-73.9779874,Manhattan,318,75,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000005579A298998052C08D5A8C264F5B4440,76,319,40.71336124,-74.00937622,Manhattan,319,76,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000048C11DE45A8052C077D89018D95B4440,77,320,40.717571,-74.005549,Manhattan,320,77,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000516A02EB057F52C04BB7A7033D5E4440,78,325,40.73624527,-73.98473765,Manhattan,325,78,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000AAA90D36FE7E52C081C21C3E615D4440,79,326,40.72953837,-73.98426726,Manhattan,326,79,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000001BDD51AE0F8152C0E6C2F8EB8F5B4440,80,327,40.7153379,-74.01658354,Manhattan,327,80,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E610000080706C3D9E8052C0F8996594AD5C4440,81,328,40.72405549,-74.00965965,Manhattan,328,81,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000BC5A5C31A78052C03BD610EA365C4440,82,329,40.72043411,-74.01020609,Manhattan,329,82,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000F918022F5C8052C0AB91FC9C745B4440,83,330,40.71450451,-74.00562789,Manhattan,330,83,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E61000007C68B7C37B7F52C09A3AB0BB195B4440,84,331,40.71173107,-73.99193043,Manhattan,331,84,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
0101000020E6100000C3780CCDAF7E52C07CBA7711295B4440,85,332,40.71219906,-73.97948148,Manhattan,332,85,2015-04-10 02:39:04.244513+00,2015-04-10 02:39:04.244513+00
